Count #,Lat,Long,Street,Month,Type,Direction,Total_Daily,Daily_Avg,Daily_Percent,AM Peak Total,AM Peak Avg,AM Peak %,PM Peak Total,PM Peak Avg,PM Peak %,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 1,Total AM Peak,Total PM Peak,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 2,Total AM Peak,Total PM Peak,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 3,Total AM Peak,Total PM Peak
28,42.345531,-71.0431,D Street south of Fargo Street,June,MV,Total,25566,8522,n/a,3626,1209,n/a,3672,1224,n/a,49,32,22,37,81,256,333,436,555,591,449,432,423,400,393,448,509,586,449,312,290,204,202,82,7571,1146,1035,52,38,25,20,94,239,336,474,550,611,518,477,424,419,515,549,593,698,633,353,329,235,253,177,8612,1161,1331,138,57,33,28,80,224,337,472,612,707,508,520,493,493,539,569,601,697,609,531,358,295,228,254,9383,1319,1306
31,42.313466,-71.057122,Dorchester Avenue north of Doris Street,June,MV,Total,46071,15357,n/a,4642,1547,n/a,4919,1640,n/a,259,191,158,149,224,608,762,754,689,795,789,829,831,859,784,838,813,832,839,853,722,624,558,414,15174,1484,1671,255,239,131,140,218,627,746,754,769,833,781,769,839,810,767,802,900,811,812,818,814,647,609,595,15486,1602,1623,334,203,160,151,225,607,728,754,774,782,744,768,786,778,769,841,867,856,769,813,923,664,580,535,15411,1556,1625
33,42.30306,-71.059459,Dorchester Avenue south of Greenwich Street,June,MV,Total,45327,15109,n/a,4646,1549,n/a,4960,1653,n/a,246,173,146,132,206,619,780,758,737,755,837,785,813,813,785,807,792,818,853,817,765,640,474,408,14959,1492,1671,254,222,129,116,205,629,792,810,791,848,808,804,839,789,809,803,821,802,832,763,796,647,512,442,15263,1639,1634,308,210,141,131,198,624,747,760,735,780,753,767,831,764,767,772,834,825,830,799,878,681,529,441,15105,1515,1655
34,42.357669,-71.133021,Franklin Street north of Alcott Street,June,MV,Total,5730,1910,n/a,1096,365,n/a,754,251,n/a,8,4,6,4,7,17,53,114,133,81,77,87,87,116,115,115,127,131,106,96,80,62,51,37,1714,214,237,19,11,3,4,5,16,49,118,124,65,90,76,94,104,110,77,105,141,105,84,76,71,57,32,1636,189,246,13,14,7,6,10,23,50,122,289,404,223,81,105,93,126,111,99,149,122,96,77,68,54,38,2380,693,271
38,42.339506,-71.108339,Longwood Avenue east of Pilgrim Road,June,MV,Total,29033,9678,n/a,3624,1208,n/a,3530,1177,n/a,55,36,25,37,79,313,646,782,615,563,536,480,538,528,570,499,552,601,600,448,328,286,218,123,9458,1178,1201,64,39,30,28,86,278,686,767,642,617,589,486,532,546,547,538,592,557,580,453,310,278,222,140,9607,1259,1137,72,28,37,30,90,265,676,771,636,551,504,505,557,533,588,565,567,579,613,552,458,319,317,155,9968,1187,1192
39,42.377729,-71.067325,Main Street south of Sullivan Square,June,MV,Total,56081,18694,n/a,7880,2627,n/a,7140,2380,n/a,81,55,42,39,119,435,843,1289,1531,1245,1104,958,918,999,1109,1189,1164,1125,1001,917,742,547,419,212,18083,2776,2126,97,62,47,44,118,449,863,1254,1487,1209,1091,1169,1021,1039,1110,1159,1208,1237,1161,996,819,579,408,232,18859,2696,2398,100,75,47,51,107,425,821,1231,1224,1184,1002,1136,1116,1087,1178,1293,1354,1470,1146,993,732,539,393,435,19139,2408,2616
42,42.326721,-71.066892,Massachusetts Avenue south of Newmarket Square,June,MV,Total,76326,25442,n/a,8078,2693,n/a,10078,3359,n/a,274,165,153,118,143,447,976,1425,1410,1325,1343,1356,1533,1519,1596,1616,1843,1793,1590,1304,1061,957,791,500,25238,2735,3383,295,184,104,121,139,445,928,1375,1350,1307,1320,1413,1545,1498,1703,1697,1947,1751,1482,1346,1039,865,841,652,25347,2657,3233,295,188,129,94,142,439,945,1404,1364,1322,1381,1388,1531,1487,1635,1731,1801,1834,1628,1383,1277,1006,747,590,25741,2686,3462
44,42.351327,-71.089774,Massachusetts Avenue Bridge north of Back Street,June,MV,Total,76869,25623,n/a,9524,3175,n/a,11436,3812,n/a,238,134,102,36,108,434,882,1260,1908,1514,1266,1054,1006,1046,1440,1658,1996,1928,1788,1098,916,946,762,560,24080,3422,3716,326,167,122,84,129,402,808,1253,1620,1427,1300,1258,1226,1279,1478,1988,2099,2085,1754,1245,1128,937,758,557,25430,3047,3839,361,224,123,81,105,413,789,1366,1552,1503,1328,1279,1285,1413,1665,2106,2111,1988,1893,1410,1202,1142,1186,834,27359,3055,3881
45,42.383173,-71.039337,Meridian Street south of Nay Street,June,MV,Total,60136,20045,n/a,6308,2103,n/a,8295,2765,n/a,293,189,153,125,215,518,871,1094,1151,1067,859,984,934,1242,1167,1199,1627,1519,1286,1063,905,717,541,386,20105,2218,2805,289,183,169,156,226,538,892,1283,1175,1074,909,950,964,963,1092,1317,1408,1386,1316,1038,1011,796,614,446,20195,2249,2702,332,194,157,138,229,509,814,981,955,886,846,1110,987,995,1112,1262,1537,1467,1321,1128,954,812,584,526,19836,1841,2788
52,42.353162,-71.048486,Seaport Boulevard west of Sleeper Street,June,MV,Total,75276,25092,n/a,10084,3361,n/a,8044,2681,n/a,252,269,180,106,196,837,1055,1439,1654,1618,1224,1129,1097,1160,1387,1488,1256,1230,1350,1189,1079,1100,770,516,23581,3272,2580,342,209,193,115,230,847,1098,1166,1777,1691,1352,1295,1187,1300,1414,1378,1214,1277,1352,1346,1183,1226,1161,884,25237,3468,2629,601,293,216,152,251,849,1124,1388,1650,1694,1308,1299,1274,1274,1503,1502,1470,1382,1453,1602,1219,1047,953,954,26458,3344,2835
60,42.288125,-71.126235,Washington Street north of Bexley Road,June,MV,Total,51460,17153,n/a,5901,1967,n/a,6792,2264,n/a,202,101,57,55,150,436,712,1069,980,999,896,879,928,945,1009,1104,1006,1172,1101,902,798,675,511,399,17086,1979,2273,214,89,61,67,165,469,738,982,1065,913,855,878,890,913,1020,1058,1095,1194,1098,887,838,677,543,408,17117,1978,2292,210,94,52,64,152,425,763,1031,1020,924,866,879,913,925,1003,1077,1094,1151,1076,981,876,710,562,409,17257,1944,2227
65,42.363715,-71.123013,Western Avenue east of Hague Street,June,MV,Total,33955,11318,n/a,4420,1473,n/a,5010,1670,n/a,67,40,32,11,53,388,542,697,783,674,578,542,517,638,842,680,729,833,714,467,344,311,244,143,10869,1457,1547,81,40,32,11,52,389,602,671,732,727,594,477,571,606,792,692,748,893,746,467,382,345,259,151,11060,1459,1639,103,53,38,24,61,397,561,651,723,781,726,566,621,650,823,773,805,974,850,582,427,376,274,187,12026,1504,1824
