Count #,Lat,Long,Street,Month,Type,Direction,Total_Daily,Daily_Avg,Daily_Percent,AM Peak Total,AM Peak Avg,AM Peak %,PM Peak Total,PM Peak Avg,PM Peak %,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 1,Total AM Peak,Total PM Peak,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 2,Total AM Peak,Total PM Peak,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Day 3,Total AM Peak,Total PM Peak
31,42.313466,-71.057122,Dorchester Avenue north of Doris Street,June,Bike,Total,851,284,1.80%,136,45,2.80%,164,55,3.20%,4,0,0,0,1,10,25,28,38,19,8,8,6,6,11,8,22,36,18,21,18,11,4,3,305,57,54,1,0,0,0,1,8,26,29,30,16,8,7,8,8,17,19,23,40,23,22,11,8,6,12,323,46,63,0,1,2,1,3,7,17,16,22,11,5,4,5,3,14,11,12,26,21,11,8,9,8,6,223,33,47
33,42.30306,-71.059459,Dorchester Avenue south of Greenwich Street,June,Bike,Total,649,216,1.40%,99,33,2.10%,128,43,2.50%,1,3,0,0,1,8,20,15,27,10,10,8,7,4,8,12,12,19,23,11,8,6,3,2,218,37,42,1,0,0,1,1,7,12,23,21,13,6,7,4,7,11,8,19,34,23,14,8,7,3,4,234,34,57,0,1,3,1,1,6,11,11,17,11,5,9,7,5,11,17,18,13,16,11,5,8,4,6,197,28,29
34,42.357669,-71.133021,Franklin Street north of Alcott Street,June,Bike,Total,2406,802,29.60%,395,132,26.50%,539,180,41.70%,10,3,1,1,1,6,17,44,93,49,37,24,21,32,22,54,53,89,100,56,41,39,30,14,837,142,189,11,5,0,0,0,9,38,45,84,53,29,26,17,19,31,41,48,87,63,65,33,26,22,15,767,137,150,2,4,4,2,1,5,12,17,77,39,25,27,21,23,29,55,57,101,99,66,47,42,25,22,802,116,200
38,42.339506,-71.108339,Longwood Avenue east of Pilgrim Road,June,Bike,Total,3872,1291,11.80%,883,294,19.60%,811,270,18.70%,6,3,0,1,3,16,52,120,186,120,66,36,37,33,52,64,138,146,120,75,49,24,24,13,1384,306,266,2,1,2,0,3,10,48,120,183,120,62,50,39,30,42,48,118,168,112,80,36,33,13,5,1325,303,280,0,1,0,2,4,12,38,84,162,112,42,32,28,34,33,53,108,159,106,57,34,30,26,6,1163,274,265
39,42.377729,-71.067325,Main Street south of Sullivan Square,June,Bike,Total,1121,374,2.00%,381,127,4.60%,168,56,2.30%,1,0,0,1,0,17,25,42,78,53,12,10,10,6,8,13,16,35,48,25,20,21,5,6,452,131,83,4,0,1,0,1,16,17,28,74,59,21,16,6,5,7,5,20,19,26,11,7,5,3,6,357,133,45,0,0,0,0,2,11,11,28,66,51,8,12,4,8,7,12,11,22,18,23,8,4,1,5,312,117,40
42,42.326721,-71.066892,Massachusetts Avenue south of Newmarket Square,June,Bike,Total,927,309,1.20%,120,40,1.50%,211,70,2.10%,3,1,0,1,0,4,18,31,33,12,9,4,12,8,17,25,23,40,36,12,16,15,12,9,341,45,76,7,1,0,1,2,9,16,22,24,21,11,9,6,12,15,17,26,34,34,15,15,6,4,3,310,45,68,0,1,0,1,1,6,12,12,13,17,15,4,15,9,14,15,17,30,37,17,16,10,3,11,276,30,67
44,42.351327,-71.089774,Massachusetts Avenue Bridge north of Back Street,June,Bike,Total,11618,3873,13.10%,2304,768,19.50%,2755,918,19.40%,16,9,5,2,2,30,100,271,520,308,168,124,106,129,110,156,286,519,475,271,199,160,90,51,4107,828,994,23,13,4,3,5,28,91,256,509,323,153,119,115,129,143,184,261,506,484,295,189,105,86,46,4070,832,990,8,9,3,1,2,24,63,174,360,284,126,108,108,88,122,188,255,425,346,275,181,150,84,57,3441,644,771
45,42.383173,-71.039337,Meridian Street south of Nay Street,June,Bike,Total,124,41,0.20%,7,2,0.10%,21,7,0.30%,1,0,2,0,1,0,3,4,5,0,2,0,4,4,0,0,3,4,5,2,3,1,0,0,44,5,9,0,0,3,0,1,5,2,4,2,0,1,1,3,0,0,3,6,2,5,3,5,2,1,0,49,2,7,0,1,1,1,2,0,4,1,0,0,0,3,2,0,2,0,2,2,3,1,4,1,0,1,31,0,5
52,42.353162,-71.048486,Seaport Boulevard west of Sleeper Street,June,Bike,Total,3397,1132,4.30%,677,226,6.30%,989,330,10.90%,0,0,0,0,3,10,30,87,178,60,24,38,45,27,27,54,110,195,129,76,35,26,9,8,1171,238,324,6,0,0,0,1,10,24,77,171,79,33,36,37,34,33,52,116,222,136,65,30,15,5,4,1186,250,358,0,0,0,0,1,9,13,51,108,81,23,30,47,38,31,63,101,208,99,45,52,18,4,18,1040,189,307
60,42.288125,-71.126235,Washington Street north of Bexley Road,June,Bike,Total,1153,384,2.20%,203,68,3.30%,261,87,3.70%,2,0,0,1,3,5,24,47,53,17,13,10,11,5,18,12,37,48,36,35,11,13,7,3,411,70,84,1,0,1,0,3,9,18,39,40,39,14,9,13,13,14,17,30,62,43,31,7,13,5,2,423,79,105,1,1,0,2,5,3,14,19,40,14,10,7,3,8,14,21,18,38,34,26,19,10,9,3,319,54,72
65,42.363715,-71.123013,Western Avenue east of Hague Street,June,Bike,Total,1670,557,4.70%,346,115,7.30%,432,144,7.90%,2,0,0,1,2,8,23,44,84,40,23,11,11,16,15,23,38,76,79,42,21,12,18,7,596,124,155,5,2,0,0,2,11,24,44,74,42,19,13,10,18,14,17,37,72,84,38,24,16,12,3,581,116,156,1,2,2,3,0,1,9,23,63,43,7,10,14,16,12,19,29,61,60,36,30,28,16,8,493,106,121
